         2174169930 function calls (2174169896 primitive calls) in 1374.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      628    0.001    0.000    0.101    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/colorama/ansitowin32.py:208(write_plain_text)
      628    0.099    0.000    0.099    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      200    0.013    0.000    0.096    0.000 /SAN/orengolab/cath_plm/ProFam/profam/src/utils/tokenizers.py:41(get_residue_index_from_positions)
     1337    0.081    0.000    0.090    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/pyarrow/parquet/core.py:336(_build_nested_paths)
      200    0.030    0.000    0.062    0.000 /SAN/orengolab/cath_plm/ProFam/profam/src/utils/tokenizers.py:13(get_flat_residue_index_from_positions)
        1    0.000    0.000    0.043    0.043 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:1569(__init__)
        3    0.043    0.014    0.043    0.014 {built-in method _io.open}
        1    0.000    0.000    0.043    0.043 {built-in method _warnings.warn}
        1    0.000    0.000    0.042    0.042 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/warnings.py:97(_showwarnmsg)
        1    0.000    0.000    0.042    0.042 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/warnings.py:20(_showwarnmsg_impl)
        1    0.000    0.000    0.041    0.041 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/warnings.py:118(_formatwarnmsg)
        1    0.000    0.000    0.041    0.041 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/lightning/fabric/utilities/warnings.py:40(_custom_format_warning)
        1    0.000    0.000    0.041    0.041 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/warnings.py:15(formatwarning)
        1    0.000    0.000    0.041    0.041 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/warnings.py:35(_formatwarnmsg_impl)
        1    0.000    0.000    0.041    0.041 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/linecache.py:26(getline)
        1    0.000    0.000    0.041    0.041 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/linecache.py:36(getlines)
        1    0.000    0.000    0.041    0.041 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/linecache.py:80(updatecache)
      627    0.001    0.000    0.039    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:988(format)
        1    0.000    0.000    0.039    0.039 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/tokenize.py:445(open)
      200    0.001    0.000    0.038    0.000 <string>:2(__init__)
      627    0.003    0.000    0.038    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:690(format)
      200    0.014    0.000    0.037    0.000 /SAN/orengolab/cath_plm/ProFam/profam/src/data/objects.py:287(__post_init__)
     2674    0.024    0.000    0.033    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/pyarrow/util.py:138(_stringify_path)
   183061    0.032    0.000    0.032    0.000 {built-in method builtins.min}
      627    0.002    0.000    0.030    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:1645(makeRecord)
      627    0.003    0.000    0.030    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:622(formatTime)
      627    0.013    0.000    0.028    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:298(__init__)
      200    0.028    0.000    0.028    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/transformers/tokenization_utils_fast.py:287(_convert_encoding)
      627    0.019    0.000    0.019    0.000 {built-in method time.strftime}
      287    0.004    0.000    0.017    0.000 /SAN/orengolab/cath_plm/ProFam/profam/src/data/binders_datamodule.py:43(__getitem__)
      627    0.004    0.000    0.012    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:1611(findCaller)
      574    0.012    0.000    0.012    0.000 {method 'get' of 'Transaction' objects}
      200    0.002    0.000    0.011    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/numpy/core/numeric.py:561(argwhere)
     1739    0.007    0.000    0.011    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/enum.py:726(__call__)
    18035    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
      400    0.001    0.000    0.009    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
      800    0.006    0.000    0.009    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/site-packages/numpy/core/numeric.py:136(ones)
      627    0.002    0.000    0.009    0.000 /SAN/orengolab/nsp13/.conda/envs/venvPF/lib/python3.12/logging/__init__.py:1137(flush)
